diagonal.n.04 mathematicalconcept
legislative_branch.n.01 governmentinstitution
confirmation.n.02 verification
tetrachlorethylene.n.01 medications
acanthurus.n.01 fishfamily
genus_gaillardia.n.01 plantgenus
north_vietnam.n.01 formercountry
macintosh.n.02 clothing
cliff_dwelling.n.01 architecturalstructure
telegrapher.n.01 communicator
cope.v.01 psychologicaladjustment
los_angeles.n.01 city
subscriber.n.02 customer
repel.v.01 repulsionaction
actuator.n.01 mechanicaldevice
provoke.v.02 phenomenoninduction
alienator.n.01 socialmanipulator
british_west_africa.n.01 formerbritishcolony
acarina.n.01 arachnid
zeitgeist.n.01 culturalphenomenon
pique.v.01 emotionalresponsetrigger
drive_up.v.01 approachaction
capparidaceae.n.01 plantfamily
law.n.06 legalprofession
gandhi.n.01 indianpolitician
liliaceous_plant.n.01 botanicalplant
acculturation.n.03 cognitiveprocess
approach.v.05 proposalinitiator
perceptibility.n.01 sensoryproperty
head.n.26 musclepart
stringybark.n.01 treespecies
chickpea.n.01 legumeseed
announcer.n.02 broadcaster
latin_american.n.01 nationality
norn.n.01 norsemythologygoddess
crucial.a.01 crisisfactor
giardia.n.01 parasiticorganism
ejaculator.n.02 interjector
draw.v.23 ancientexecutionmethod
clay.n.01 naturalmaterial
front.n.07 weatherphenomenon
rug.n.01 householdfurnishing
pictorial.a.01 visualconcept
get.v.22 acquisition
shaking.n.02 physicalphenomenon
logjam.n.01 trafficobstacle
roaster.n.01 humorist
matter.n.05 consequence
war.n.03 conflict
study_hall.n.01 educationallocation
befit.v.01 compatibility
bequeath.v.01 deathdisposition
tortoiseshell.n.02 speciescharacteristic
doctoral.a.01 academicdegreeaffiliation
tease.v.08 playfulinteraction
raffia.n.03 plant
predetermine.v.01 action
chlorpheniramine_maleate.n.01 medication
cerastium.n.01 plant
naucrates.n.01 fishgenus
tack.v.01 fasteningaction
conflict.n.04 disagreement
long_distance.n.01 telephonecall
companion.n.03 professionalcaregiver
calixtus_ii.n.01 papalfigure
western_blackberry.n.01 fruit
competitiveness.n.01 trait
formal.a.01 adherencetoprotocol
swing.v.02 motion
ziziphus.n.01 plant
cocteau.n.01 frenchmediapersonality
sycamore.n.04 treespecies
bargain.n.02 commercialoffer
suffer.v.02 bodilyexperience
sign.n.11 mathematicalsymbol
prowl.v.02 indefiniteaction
