diagonal.n.04 mathematicalconcept
legislative_branch.n.01 governmentbody
confirmation.n.02 information
tetrachlorethylene.n.01 chemicalcompound
acanthurus.n.01 marineorganism
genus_gaillardia.n.01 plant
north_vietnam.n.01 historicalregion
macintosh.n.02 clothing
cliff_dwelling.n.01 humanhabitation
telegrapher.n.01 communicationprofessional
cope.v.01 cognitiveprocess
los_angeles.n.01 city
subscriber.n.02 individual
repel.v.01 action
actuator.n.01 mechanicaldevice
provoke.v.02 stimulus
alienator.n.01 person
british_west_africa.n.01 historicalregion
acarina.n.01 arachnid
zeitgeist.n.01 culturalconcept
pique.v.01 emotionalresponse
drive_up.v.01 motionactivity
capparidaceae.n.01 plantfamily
law.n.06 profession
gandhi.n.01 politicalfigure
liliaceous_plant.n.01 plant
acculturation.n.03 culturalprocess
approach.v.05 socialinteraction
perceptibility.n.01 quality
head.n.26 anatomicalstructure
stringybark.n.01 plant
chickpea.n.01 plantseed
announcer.n.02 mediaprofessional
latin_american.n.01 person
norn.n.01 mythologicalfigure
crucial.a.01 importance
giardia.n.01 diseasecause
ejaculator.n.02 communicator
draw.v.23 action
clay.n.01 naturalmaterial
front.n.07 atmosphericphenomenon
rug.n.01 homefurnishing
pictorial.a.01 visualrepresentation
get.v.22 transaction
shaking.n.02 motion
logjam.n.01 event
roaster.n.01 critic
matter.n.05 concept
war.n.03 conflict
study_hall.n.01 educationalsetting
befit.v.01 relationship
bequeath.v.01 legalaction
tortoiseshell.n.02 organism
doctoral.a.01 academicqualification
tease.v.08 socialinteraction
raffia.n.03 plant
predetermine.v.01 action
chlorpheniramine_maleate.n.01 pharmaceuticalcompound
cerastium.n.01 plant
naucrates.n.01 marineorganism
tack.v.01 action
conflict.n.04 situation
long_distance.n.01 communication
companion.n.03 accompanyingindividual
calixtus_ii.n.01 religiousleader
western_blackberry.n.01 plant
competitiveness.n.01 characteristic
formal.a.01 socialnorm
swing.v.02 motion
ziziphus.n.01 plant
cocteau.n.01 artist
sycamore.n.04 tree
bargain.n.02 transaction
suffer.v.02 physicalexperience
sign.n.11 symbol
prowl.v.02 behavior
sanitation.n.02 healthpractice
procrastinator.n.01 person
inhumaneness.n.01 abstractquality
congratulation.n.01 socialinteraction
haziness.n.02 atmosphericphenomenon
molecular_biology.n.01 biologicalscience
millennium.n.02 timeperiod
elettaria.n.01 plant
develop.v.13 process
distribute.v.04 action
wolframite.n.01 mineral
work.v.19 socialinteraction
travel.v.01 action
fragaria.n.01 plant
exodus.n.02 religioustext
leitneria.n.01 plant
administrator.n.03 governmentofficial
ill_health.n.01 healthcondition
dead_nettle.n.02 plant
france.n.01 country
massage.n.01 therapeuticpractice
stamp.n.02 classification
negate.v.03 action
power_line.n.01 infrastructure
arabidopsis.n.01 plant
dawn.n.01 naturalphenomenon
depute.v.02 roleassignment
fertilization.n.02 agriculturalprocess
smut.n.03 fungus
monster.n.04 inhumanbeing
casuistry.n.01 philosophicalconcept
crown.n.12 physicalobject
alkali.n.02 chemicalsubstance
winged_elm.n.01 plant
menstruation.n.01 biologicalprocess
sponge.v.05 marineorganismgatheringactivity
skirt.n.02 clothing
demineralize.v.01 process
cottonwood.n.01 tree
rape.n.01 plant
democracy.n.01 politicalsystem
reputable.a.01 quality
bleaching_agent.n.01 chemicalsubstance
ballyhoo.n.01 promotion
preemption.n.01 legalconcept
idle.v.02 stateofbeing
familiarity.n.05 socialinteraction
sinningia.n.01 plant
precede.v.02 temporalrelation
grantee.n.01 recipient
riser.n.01 individual
transducer.n.01 electricaldevice
loiseleuria.n.01 plant
hieroglyph.n.02 writingsystem
tasteless.a.02 quality
savor.v.03 experience
lunge.n.02 athleticmovement
flageolet.n.02 musicalinstrument
capitulation.n.03 action
vaporization.n.02 process
percolate.v.05 process
filipino.n.01 person
bigeye_scad.n.01 marinespecies
local_department.n.01 governmentalorganization
hankering.n.01 desire
rouge.n.01 cosmeticproduct
stream.v.01 movement
dilate.v.01 physicalaction
sundacarpus_amara.n.01 plant
mexican.n.01 geographicalregioninhabitant
hyacinth.n.02 plant
sole.n.04 marineorganism
sentience.n.03 cognitivephenomenon
attica.n.01 historicalregion
vetch.n.01 plant
desmograthus.n.01 amphibiangenus
ricinus.n.01 plant
eastern_ground_snake.n.01 reptile
dinoflagellata.n.01 biologicalclassification
miner.n.01 worker
tartuffe.n.01 hypocrite
theatrical_production.n.01 performance
transistor.n.01 electroniccomponent
chamber.n.02 anatomicalstructure
immigration_and_naturalization_service.n.01 governmentagency
protest.v.01 socialaction
rhyme.v.02 auditoryphenomenon
pieris.n.01 plant
block.v.06 medicalaction
by-bid.v.01 transaction
wild_licorice.n.02 plant
melon.n.01 fruit
sophism.n.01 concept
home_counties.n.01 geographicalregion
pulmonary_tuberculosis.n.01 disease
alcoholize.v.02 chemicalprocess
clemens.n.01 person
plant_product.n.01 naturalproduct
compact_disk.n.01 opticalstoragemedium
abreact.v.01 emotionalprocess
cat.v.01 physicalpunishment
bedspring.n.01 furniture
crash_land.v.01 aeronauticalaction
budget.n.02 financialplan
subpoena.n.01 legaldocument
melanotis.n.01 genus
aphorism.n.01 expression
stone_pine.n.01 tree
guilt.n.01 psychologicalstate
biscayne_bay.n.01 geographicalfeature
alisma.n.01 aquaticplant
triga.n.01 genus
sanvitalia.n.01 plant
worth.n.02 value
young_buck.n.01 youngmale
isolation.n.04 psychologicalconcept
common_gum_cistus.n.01 plant
mastopexy.n.01 medicalprocedure
domesticate.v.01 process
false.a.01 conceptoftruth
handle.v.06 action
investigate.v.01 scientificinquiry
move.v.16 action
wide.a.01 dimension
dispose.v.04 action
knit.v.02 action
langley.n.02 historicalfigure
speciate.v.01 biologicalprocess
node.n.03 plantstructure
repercuss.v.01 action
pardoner.n.02 religiousfigure
injury.n.04 physicalharm
alone.s.04 concept
water_shamrock.n.01 plant
tracheophyta.n.01 plant
crichton.n.01 historicalfigure
genus_bougainvillea.n.01 plant
activeness.n.02 trait
accept.v.02 action
deposit.v.02 financialtransaction
calopogon.n.01 plant
grass_pink.n.01 plant
field-test.v.01 evaluationprocess
short-change.v.01 financialtransaction
accountantship.n.01 profession
emplace.v.01 militaryaction
range.n.06 variety
amphisbaenidae.n.01 reptile
distributive.a.01 action
sack.n.01 container
cordylidae.n.01 reptilefamily
frame.v.01 action
tearaway.n.01 individual
attire.n.01 apparel
bottom.n.01 physicallocation
dome.n.04 structuralfeature
erysiphales.n.01 fungus
chain.n.10 accessory
library.n.02 institution
organelle.n.01 cellularstructure
pastorship.n.01 religiousleadership
honorable.a.02 quality
dynamite.n.01 explosivematerial
south_african.n.01 geographicinhabitant
turn.v.08 action
anas.n.01 animal
monocytic_leukemia.n.01 medicalcondition
end.v.04 action
flash.n.02 phenomenon
slant.v.02 action
accredit.v.01 credentialingprocess
diffident.a.02 personalitytrait
cartilaginous_structure.n.01 biologicalstructure
pool.n.06 naturalresource
writing.n.03 literarywork
clergy.n.01 religiousgroup
post.n.05 person
dangerous.a.01 risk
see.v.10 action
homologize.v.02 biologicalprocess
execution.n.06 action
flourish.n.04 motion
coccid_insect.n.01 insect
home.n.01 location
art.n.01 creativeworks
enchantress.n.02 magicalbeing
retention.n.01 process
ford.n.05 politicalfigure
deliver.v.01 communicationact
teacher.n.01 person
nightwear.n.01 clothing
summation.n.04 mathematicaloperation
sinhalese.n.01 ethnicgroup
dopamine.n.01 biologicalsubstance
sequence.n.03 mediacomposition
realist.n.03 artist
kidnap.v.01 criminalactivity
myrmeleon.n.01 insect
lepas.n.01 marineorganism
tetrachloride.n.01 chemicalcompound
retriever.n.01 animal
convey.v.03 action
savage.v.01 aggressiveaction
ferret.v.02 huntingactivity
possession.n.01 propertyandownership
scrape.v.05 resourcecollection
company.v.01 socialrelationship
trachea.n.01 anatomicalstructure
cannon.n.03 militaryequipment
melted.a.01 physicalprocess
baleen_whale.n.01 marinemammal
preceptorship.n.01 educationalrole
manor.n.01 residentialproperty
predomination.n.02 abstractquality
pavement.n.01 infrastructure
repression.n.03 socialcontrol
accommodate.v.04 capacity
vein.n.01 biologicalstructure
trojan.n.01 historicalfigure
mongrelize.v.01 transformation
advertising_campaign.n.01 marketinginitiative
ichthyosauridae.n.01 extinctmarinereptile
arthropod_family.n.01 biologicalclassification
antimalarial.n.01 medicinalsubstance
sea_nymph.n.01 mythologicalbeing
